"","Longitude","Latitude","School.ID","Enrollment.x","Grade.Level","src_school_id","school_name","overall_city_rank","ach_city_rank","prog_city_rank","clim_city_rank","cc_city_rank","Serious.Incidents","Total.Suspensions","Count.Native.American.y","Percent.Native.American.y","Count.Asian.y","Percent.Asian.y","Count.Black.y","Percent.Black.y","Count.Hispanic.y","Percent.Hispanic.y","Count.Multirace.y","Percent.Multirace.y","Count.Pacific.Islander.y","Percent.Pacific.Islander.y","Count.White.y","Percent.White.y"
"147",-75.146,39.972,5340,304,"Elem/Middle","534","James R. Ludlow School","80th of 126","73rd of 126","42nd of 126","99th of 126",NA,15,59,2,0.00657895,0,0,211,0.69407895,64,0.21052632,25,0.08223684,0,0,2,0.00657895
"148",-75.163,39.965,2290,787,"High School","229","Franklin Learning Center","25th of 71","12th of 70","46th of 71","31st of 72","23rd of 70",22,32,3,0.00381194,86,0.10927573,402,0.51080051,151,0.19186785,14,0.01778907,0,0,131,0.16645489
"149",-75.23,39.947,1300,607,"Elementary School","130","Avery D. Harrington School","70th of 126","55th of 126","70th of 126","77th of 126",NA,15,30,1,0.00164745,0,0,545,0.89785832,15,0.0247117,33,0.05436573,0,0,13,0.0214168
"150",-75.163,39.915,2190,554,"Elem/Middle","219","D. Newlin Fell School","26th of 126","25th of 126","36th of 126","36th of 126",NA,9,28,1,0.00180505,230,0.41516245,61,0.1101083,92,0.16606498,34,0.06137184,0,0,136,0.24548736
"151",-75.009,40.121,8370,507,"Elementary School","837","Watson Comly School","4th of 61","4th of 61","14th of 61","4th of 62",NA,8,4,3,0.00591716,59,0.11637081,56,0.11045365,43,0.08481262,62,0.12228797,0,0,284,0.56015779
"152",-75.081,40.075,8260,462,"Elementary School","826","Fox Chase School","23rd of 61","10th of 61","48th of 61","13th of 62",NA,8,29,0,0,38,0.08225108,96,0.20779221,60,0.12987013,52,0.11255411,0,0,216,0.46753247
"153",-75.175,40.071,6100,266,"Middle School","610","Morris E. Leeds School","33rd of 33","30th of 33","32nd of 33","32nd of 33",NA,45,161,0,0,1,0.0037594,253,0.95112782,9,0.03383459,2,0.0075188,0,0,1,0.0037594
"154",-75.071,40.056,8020,2965,"High School","802","Northeast High School","32nd of 71","19th of 70","22nd of 71","44th of 72","39th of 70",95,551,7,0.00236088,644,0.21720067,921,0.31062395,643,0.21686341,177,0.05969646,3,0.0010118,570,0.19224283
"155",-75.195,40.06,6260,382,"Elem/Middle","626","Henry H. Houston School","87th of 126","68th of 126","106th of 126","58th of 126",NA,18,53,0,0,3,0.0078534,331,0.86649215,8,0.02094241,27,0.07068063,0,0,13,0.03403141
"156",-75.138,40.055,7260,317,"Elementary School","726","Ellwood School","33rd of 61","36th of 61","22nd of 61","39th of 62",NA,18,28,1,0.00315457,2,0.00630915,286,0.9022082,6,0.01892744,21,0.06624606,0,0,1,0.00315457
